paragraph_arr,freq,title,rank,meaning,example,sentence,rating
EVOLVING,24,23,552,Develop gradually.,the company has evolved into a major chemical manufacturer,"There is also this: though machine learning, artificial intelligence, deep learning, computer vision and natural language processing (along with a variety of other applications of these ""intelligent"" technologies) are all separate and distinct fields and application domains, even practitioners and researchers have to admit that there is some continually evolving ""concept creep"" going on any more, beyond the regular ol' confusion and confounding that has always taken place",1
SUITABLE,25,22,550,"Right or appropriate for a particular person, purpose, or situation.",these toys are not suitable for children under five,Raw data is collected from various sources and usually unsuitable for analysis,1
ANALYSES,25,22,550,Detailed examination of the elements or structure of something.,statistical analysis,"During World War II, researchers from the non-profit research group the Center for Naval Analyses were tasked with a problem",1
ACCOMPLISH,25,22,550,Achieve or complete successfully.,the planes accomplished their mission,"In RCloud, every notebook is named by a URL, so converting collaborative work into reports and recommendations is accomplished by sharing (e",1
TUTORIALS,25,22,550,A period of tuition given by a university or college tutor to an individual or very small group.,"formal teaching consists of lectures, tutorials, and practicals","YouTube contains several educational videos and tutorials that can teach you the essential math and programming skills required in data science, as well as several data science tutorials for beginners",1
RELIABLE,26,21,546,A person or thing with trustworthy qualities.,the supporting cast includes old reliables like Mitchell,"For example, a reliable data flow will be the cornerstone of the productivity of any data team",1
CORRELATION,27,20,540,A mutual relationship or connection between two or more things.,research showed a clear correlation between recession and levels of property crime,"Many make the correlation that Data Science is all about data, and data means revenue",1
RESUME,38,14,532,Begin to do or pursue (something) again after a pause or interruption.,a day later normal service was resumed,An applicant’s current company may have projects available that would add variation to a resume,1
SOLVED,23,23,529,"Find an answer to, explanation for, or means of effectively dealing with (a problem or mystery)",the policy could solve the town's housing crisis,"Presumably, this segmentation is a bit blurry; some apprentices will never aspire to become an expert, having job requirements that are well-defined and can be solved using standard techniques",1
DIVE,23,23,529,Plunge head first into water.,"she walked to the deep end, then she dived in","Even on the BI side of analytics, there can be diversification and specialization",1
CONSTANT,24,22,528,A situation or state of affairs that does not change.,the condition of struggle remained a constant,"To find a MVM, it is necessary a constant dialogue between the areas that define the business goals and the data scientist",1
RECOGNIZE,24,22,528,Identify (someone or something) from having encountered them before; know again.,I recognized her when her wig fell off,"If you break an image into jigsaw-like pieces, scramble them, and show them to a kid, it won’t be able to recognize the original object; a CNN might",1
